RES_PERSON_ID_SRC,EDGE_NAME,EDGE_DETAIL,EDGE_DETAIL_DSC,RES_PERSON_ID_TGT
5155,IS_SPOUSE_OF,SISTER,FAMILY,5082
5175,IS_RELATED_TO,SISTER,FAMILY,5063
5142,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5031
5129,IS_SPOUSE_OF,SPOUSE,FAMILY,5162
5013,IS_SPOUSE_OF,SPOUSE,FAMILY,5058
5113,IS_RELATED_TO,COUSIN,FAMILY,5111
5123,IS_RELATED_TO,SISTER,FAMILY,5038
5116,IS_RELATED_TO,COUSIN,FAMILY,5092
5028,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5062
5096,IS_RELATED_TO,COUSIN,FAMILY,5117
5103,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5125
5097,IS_SPOUSE_OF,COUSIN,FAMILY,5034
5079,IS_SPOUSE_OF,BUSINESS_PARTNER,FAMILY,5036
5015,IS_RELATED_TO,SISTER,FAMILY,5002
5023,IS_RELATED_TO,COUSIN,FAMILY,5095
5068,IS_RELATED_TO,SPOUSE,FAMILY,5066
5022,IS_RELATED_TO,SPOUSE,FAMILY,5152
5115,IS_SPOUSE_OF,SISTER,FAMILY,5076
5077,IS_RELATED_TO,COUSIN,FAMILY,5066
5161,IS_RELATED_TO,BUSINESS_PARTNER,FAMILY,5146
5104,IS_SPOUSE_OF,SISTER,FAMILY,5107
5125,ACT_ON_BEHALF_OF,CARE_PROXY,LEGAL,5068
5025,ACT_ON_BEHALF_OF,CARE_PROXY,LEGAL,5158
5003,ACT_ON_BEHALF_OF,CARE_PROXY,LEGAL,5173
