COMPANY_CODE,POLICY_NUMBER,POLICY_STATUS,POLICY_SUB_STATUS,PRODUCT_CODE,ISSUE_DATE,ISSUE_STATE,PREMIUM_AMT,TOTAL_PREMIUM_PAID
JH,POL-LTC-10046,Active,In Good Standing,LTC_PLUS,2019-09-10,MA,314.82,4591.28
JH,POL-LTC-10047,Lapsed,In Good Standing,LTC_PLUS,2019-12-13,MA,365.67,46880.96
JH,POL-LTC-10048,Active,Payment Pending,LTC_STD,2017-04-23,MA,271.29,16763.11
JH,POL-LTC-10049,Active,In Good Standing,LTC_STD,2023-02-27,MA,541.83,24081.65
JH,POL-LTC-10050,Active,In Good Standing,LTC_STD,2016-08-25,MA,282.93,13418.26
JH,POL-LTC-10051,Active,In Good Standing,LTC_STD,2021-06-25,MA,509.56,38267.82
JH,POL-LTC-10052,Active,In Good Standing,LTC_PLUS,2020-08-27,MA,627.52,23735.94
JH,POL-LTC-10053,Active,Payment Pending,LTC_STD,2013-09-15,MA,336.33,18529.55
JH,POL-LTC-10054,Active,In Good Standing,LTC_STD,2010-11-22,MA,717.36,34020.91
JH,POL-LTC-10055,Lapsed,In Good Standing,LTC_PLUS,2020-02-23,MA,597.65,34185.48
JH,POL-LTC-10056,Active,In Good Standing,LTC_STD,2019-07-02,MA,478.79,26997.97
JH,POL-LTC-10057,Active,In Good Standing,LTC_STD,2019-10-05,MA,329.12,16885.77
JH,POL-LTC-10058,Lapsed,In Good Standing,LTC_PLUS,2012-08-09,MA,587.46,46980.97
JH,POL-LTC-10059,Active,In Good Standing,LTC_STD,2021-03-02,MA,376.95,43935.27
JH,POL-LTC-10060,Active,In Good Standing,LTC_PLUS,2010-11-23,MA,544.49,49191.97
JH,POL-LTC-10061,Lapsed,Payment Pending,LTC_PLUS,2014-08-14,MA,565.48,34255.35
JH,POL-LTC-10062,Active,In Good Standing,LTC_STD,2012-03-10,MA,259.25,29137.95
JH,POL-LTC-10063,Active,In Good Standing,LTC_STD,2025-12-06,MA,432.63,38729.73
JH,POL-LTC-10064,Active,In Good Standing,LTC_PLUS,2018-12-28,MA,416.65,8913.42
JH,POL-LTC-10065,Active,In Good Standing,LTC_STD,2012-02-23,MA,610.62,16851.05
JH,POL-LTC-10066,Active,In Good Standing,LTC_PLUS,2010-06-21,MA,367.72,34764.64
JH,POL-LTC-10067,Active,In Good Standing,LTC_STD,2014-08-26,MA,319.93,48228.13
JH,POL-LTC-10068,Active,In Good Standing,LTC_STD,2020-08-25,MA,490.93,24594.19
JH,POL-LTC-10069,Active,In Good Standing,LTC_STD,2015-01-13,MA,268.88,20727.4
JH,POL-LTC-10070,Lapsed,In Good Standing,LTC_STD,2017-12-26,MA,466.63,39946.6
JH,POL-LTC-10071,Active,In Good Standing,LTC_PLUS,2022-04-16,MA,687.23,9582.95
JH,POL-LTC-10072,Active,In Good Standing,LTC_STD,2014-01-23,MA,492.61,25105.76
JH,POL-LTC-10073,Active,In Good Standing,LTC_PLUS,2012-10-17,MA,469.47,28963.83
JH,POL-LTC-10074,Active,In Good Standing,LTC_PLUS,2015-12-14,MA,336.87,17753.2
JH,POL-LTC-10075,Lapsed,In Good Standing,LTC_PLUS,2025-10-09,MA,497.07,33877.38
JH,POL-LTC-10076,Active,In Good Standing,LTC_PLUS,2013-07-21,MA,760.68,49637.71
JH,POL-LTC-10077,Active,In Good Standing,LTC_PLUS,2017-09-23,MA,480.81,47777.02
JH,POL-LTC-10078,Lapsed,In Good Standing,LTC_STD,2024-07-13,MA,431.41,39366.74
JH,POL-LTC-10079,Active,In Good Standing,LTC_STD,2024-03-23,MA,666.34,40029.4
JH,POL-LTC-10080,Active,In Good Standing,LTC_STD,2013-07-10,MA,605.05,43421.1
JH,POL-LTC-10081,Active,In Good Standing,LTC_STD,2024-08-24,MA,412.93,12315.62
JH,POL-LTC-10082,Active,Payment Pending,LTC_STD,2019-07-10,MA,286.81,36986.99
JH,POL-LTC-10083,Active,In Good Standing,LTC_PLUS,2025-12-21,MA,713.88,8052.42
JH,POL-LTC-10084,Active,Payment Pending,LTC_PLUS,2025-02-01,MA,447.73,20245.6
JH,POL-LTC-10085,Active,Payment Pending,LTC_PLUS,2014-04-08,MA,375.41,22355.02
JH,POL-LTC-10086,Active,In Good Standing,LTC_STD,2015-11-24,MA,355.27,19966.51
JH,POL-LTC-10087,Active,In Good Standing,LTC_PLUS,2024-03-06,MA,542.47,22528.29
JH,POL-LTC-10088,Active,In Good Standing,LTC_STD,2020-07-08,MA,614.86,15459.89
JH,POL-LTC-10089,Active,In Good Standing,LTC_PLUS,2010-06-09,MA,416.38,16553.73
JH,POL-LTC-10090,Lapsed,Payment Pending,LTC_PLUS,2019-12-28,MA,504.56,15499.87
JH,POL-LTC-10091,Active,Payment Pending,LTC_STD,2013-12-08,MA,275.35,12754.23
JH,POL-LTC-10092,Active,In Good Standing,LTC_STD,2025-11-28,MA,299.32,23970.82
JH,POL-LTC-10093,Active,Payment Pending,LTC_PLUS,2020-05-23,MA,456.36,43089.87
JH,POL-LTC-10094,Active,Payment Pending,LTC_PLUS,2017-08-17,MA,668.91,14170.62
JH,POL-LTC-10095,Active,In Good Standing,LTC_PLUS,2013-10-16,MA,414.09,7536.84
JH,POL-LTC-10096,Active,Payment Pending,LTC_PLUS,2010-12-12,MA,274.07,36987.32
JH,POL-LTC-10097,Active,In Good Standing,LTC_PLUS,2017-10-26,MA,644.22,28516.11
JH,POL-LTC-10098,Active,In Good Standing,LTC_PLUS,2014-11-14,MA,617.19,45152.45
JH,POL-LTC-10099,Lapsed,In Good Standing,LTC_PLUS,2025-02-15,MA,691.51,29167.95
JH,POL-LTC-10100,Active,In Good Standing,LTC_PLUS,2013-02-03,MA,423.34,9164.9
JH,POL-LTC-10101,Lapsed,In Good Standing,LTC_PLUS,2025-07-18,MA,650.83,30974.28
JH,POL-LTC-10102,Lapsed,In Good Standing,LTC_PLUS,2018-06-14,MA,355.18,34520.6
JH,POL-LTC-10103,Active,Payment Pending,LTC_PLUS,2020-12-09,MA,309.88,20498.8
JH,POL-LTC-10104,Lapsed,In Good Standing,LTC_STD,2015-08-28,MA,302.31,16323.12
JH,POL-LTC-10105,Lapsed,Payment Pending,LTC_PLUS,2025-12-17,MA,586.09,8523.7
JH,POL-LTC-10106,Lapsed,In Good Standing,LTC_PLUS,2014-12-03,MA,507.13,17922.79
JH,POL-LTC-10107,Active,In Good Standing,LTC_STD,2016-08-15,MA,567.39,39527.41
JH,POL-LTC-10108,Active,Payment Pending,LTC_STD,2019-12-12,MA,461.65,9195.63
JH,POL-LTC-10109,Active,In Good Standing,LTC_PLUS,2024-09-05,MA,579.19,41025.78
JH,POL-LTC-10110,Lapsed,In Good Standing,LTC_PLUS,2010-07-16,MA,604.83,14394.2
JH,POL-LTC-10111,Active,In Good Standing,LTC_STD,2015-10-02,MA,500.83,21878.64
JH,POL-LTC-10112,Lapsed,In Good Standing,LTC_STD,2011-09-11,MA,764.19,6562.02
JH,POL-LTC-10113,Active,Payment Pending,LTC_STD,2019-10-05,MA,468.74,19943.25
JH,POL-LTC-10114,Active,In Good Standing,LTC_PLUS,2019-07-28,MA,302.71,18439.48
JH,POL-LTC-10115,Lapsed,In Good Standing,LTC_PLUS,2023-02-27,MA,708.33,47528.8
JH,POL-LTC-10116,Lapsed,In Good Standing,LTC_PLUS,2015-05-01,MA,372.38,21361.46
JH,POL-LTC-10117,Active,Payment Pending,LTC_STD,2010-07-04,MA,307.49,41606.92
JH,POL-LTC-10118,Lapsed,In Good Standing,LTC_PLUS,2020-08-19,MA,404.09,15106.59
JH,POL-LTC-10119,Active,In Good Standing,LTC_STD,2016-05-11,MA,632.45,30613.97
JH,POL-LTC-10120,Active,Payment Pending,LTC_STD,2023-11-28,MA,598.74,30745.37
JH,POL-LTC-10121,Active,Payment Pending,LTC_STD,2013-05-23,MA,584.8,6089.97
JH,POL-LTC-10122,Active,In Good Standing,LTC_STD,2021-01-23,MA,443.62,36166.54
JH,POL-LTC-10123,Active,In Good Standing,LTC_STD,2021-10-04,MA,461.51,19307.67
JH,POL-LTC-10124,Active,In Good Standing,LTC_STD,2011-02-22,MA,275.53,4073.45
JH,POL-LTC-10125,Active,Payment Pending,LTC_STD,2022-08-13,MA,315.67,45517.04
JH,POL-LTC-10126,Lapsed,In Good Standing,LTC_STD,2010-07-24,MA,667.38,25661.56
JH,POL-LTC-10127,Active,In Good Standing,LTC_STD,2022-12-20,MA,735.12,23834.22
JH,POL-LTC-10128,Active,In Good Standing,LTC_PLUS,2012-04-08,MA,278.98,24112.62
JH,POL-LTC-10129,Active,Payment Pending,LTC_PLUS,2024-07-24,MA,620.26,34712.6
JH,POL-LTC-10130,Active,In Good Standing,LTC_PLUS,2019-05-20,MA,440.78,26232.54
JH,POL-LTC-10131,Lapsed,Payment Pending,LTC_PLUS,2024-08-11,MA,650.79,36866.8
JH,POL-LTC-10132,Active,In Good Standing,LTC_PLUS,2015-01-10,MA,525.11,33881.73
JH,POL-LTC-10133,Active,In Good Standing,LTC_STD,2018-03-20,MA,316.21,27059.97
JH,POL-LTC-10134,Active,In Good Standing,LTC_STD,2023-08-03,MA,722.48,16145.78
JH,POL-LTC-10135,Lapsed,In Good Standing,LTC_PLUS,2013-09-05,MA,715.26,44636.9
JH,POL-LTC-10136,Active,In Good Standing,LTC_PLUS,2010-06-02,MA,387.35,19643.05
JH,POL-LTC-10137,Active,In Good Standing,LTC_PLUS,2012-08-14,MA,711.06,20499.31
JH,POL-LTC-10138,Active,In Good Standing,LTC_PLUS,2014-06-04,MA,561.68,21802.82
JH,POL-LTC-10139,Lapsed,In Good Standing,LTC_STD,2020-03-10,MA,333.22,42751.26
JH,POL-LTC-10140,Active,In Good Standing,LTC_PLUS,2019-02-26,MA,268.54,22486.27
JH,POL-LTC-10141,Active,Payment Pending,LTC_PLUS,2018-09-22,MA,669.92,4926.4
JH,POL-LTC-10142,Active,In Good Standing,LTC_STD,2022-10-04,MA,512.24,9028.47
JH,POL-LTC-10143,Lapsed,Payment Pending,LTC_STD,2023-05-20,MA,646.0,8400.54
JH,POL-LTC-10144,Active,In Good Standing,LTC_STD,2013-05-02,MA,380.06,45813.1
JH,POL-LTC-10145,Active,In Good Standing,LTC_STD,2022-02-19,MA,414.08,34544.38
JH,POL-LTC-10146,Active,In Good Standing,LTC_STD,2021-07-14,MA,530.52,7625.83
JH,POL-LTC-10147,Active,In Good Standing,LTC_PLUS,2023-06-20,MA,536.8,9061.07
JH,POL-LTC-10148,Active,In Good Standing,LTC_STD,2025-05-20,MA,637.87,9569.98
JH,POL-LTC-10149,Active,In Good Standing,LTC_STD,2016-12-15,MA,264.82,35379.42
JH,POL-LTC-10150,Active,In Good Standing,LTC_STD,2018-08-17,MA,427.59,23916.58
JH,POL-LTC-10151,Active,In Good Standing,LTC_PLUS,2023-08-25,MA,651.83,32444.91
JH,POL-LTC-10152,Active,Payment Pending,LTC_STD,2022-05-03,MA,728.53,4190.96
JH,POL-LTC-10153,Active,In Good Standing,LTC_PLUS,2022-07-21,MA,479.92,42340.63
JH,POL-LTC-10154,Active,In Good Standing,LTC_PLUS,2015-07-02,MA,459.57,5693.43
JH,POL-LTC-10155,Lapsed,In Good Standing,LTC_PLUS,2012-06-03,MA,758.97,47309.9
JH,POL-LTC-10156,Active,In Good Standing,LTC_STD,2018-08-26,MA,257.54,40872.75
JH,POL-LTC-10157,Active,In Good Standing,LTC_STD,2023-09-03,MA,754.33,19434.12
JH,POL-LTC-10158,Active,In Good Standing,LTC_STD,2015-10-02,MA,600.95,7987.22
JH,POL-LTC-10159,Lapsed,In Good Standing,LTC_STD,2013-04-07,MA,381.42,15277.41
JH,POL-LTC-10160,Active,In Good Standing,LTC_STD,2018-09-27,MA,518.75,5843.37
JH,POL-LTC-10161,Active,Payment Pending,LTC_PLUS,2011-11-27,MA,488.76,35717.81
JH,POL-LTC-10162,Active,In Good Standing,LTC_STD,2013-03-09,MA,598.43,40814.23
JH,POL-LTC-10163,Active,In Good Standing,LTC_PLUS,2025-04-21,MA,621.24,39521.78
JH,POL-LTC-10164,Active,In Good Standing,LTC_PLUS,2013-08-14,MA,675.96,23132.95
JH,POL-LTC-10165,Active,In Good Standing,LTC_STD,2011-09-13,MA,306.25,14181.22
JH,POL-LTC-10166,Active,Payment Pending,LTC_PLUS,2014-11-21,MA,611.03,17693.81
JH,POL-LTC-10167,Active,In Good Standing,LTC_STD,2021-06-04,MA,666.92,24252.98
JH,POL-LTC-10168,Lapsed,In Good Standing,LTC_PLUS,2015-12-25,MA,345.79,48680.29
JH,POL-LTC-10169,Lapsed,In Good Standing,LTC_STD,2014-07-03,MA,617.55,33591.65
JH,POL-LTC-10170,Active,Payment Pending,LTC_PLUS,2021-09-26,MA,624.89,5893.36
JH,POL-LTC-10171,Active,In Good Standing,LTC_PLUS,2014-11-14,MA,499.74,30069.01
JH,POL-LTC-10172,Active,Payment Pending,LTC_PLUS,2022-11-24,MA,416.83,9203.02
JH,POL-LTC-10173,Active,In Good Standing,LTC_PLUS,2020-01-12,MA,360.2,38608.37
JH,POL-LTC-10174,Active,In Good Standing,LTC_PLUS,2017-06-22,MA,541.09,20458.04
JH,POL-LTC-10175,Active,Payment Pending,LTC_STD,2013-09-14,MA,693.83,11396.68
JH,POL-LTC-10176,Active,Payment Pending,LTC_PLUS,2019-01-05,MA,441.91,41786.87
JH,POL-LTC-10177,Active,In Good Standing,LTC_PLUS,2025-07-19,MA,694.08,42304.49
JH,POL-LTC-10178,Active,Payment Pending,LTC_STD,2011-04-17,MA,703.63,20617.6
JH,POL-LTC-10179,Active,Payment Pending,LTC_PLUS,2011-03-13,MA,504.69,4695.38
JH,POL-LTC-10180,Active,In Good Standing,LTC_PLUS,2019-03-05,MA,767.26,41469.06
JH,POL-LTC-10181,Lapsed,In Good Standing,LTC_STD,2017-04-02,MA,704.8,33191.99
JH,POL-LTC-10182,Active,In Good Standing,LTC_PLUS,2022-07-21,MA,362.52,39899.86
JH,POL-LTC-10183,Active,Payment Pending,LTC_STD,2011-05-14,MA,561.93,22760.38
JH,POL-LTC-10184,Active,In Good Standing,LTC_PLUS,2012-04-15,MA,319.9,9813.75
JH,POL-LTC-10185,Active,In Good Standing,LTC_STD,2025-07-25,MA,535.54,9840.27
JH,POL-LTC-10186,Lapsed,In Good Standing,LTC_PLUS,2014-02-24,MA,755.21,47549.38
JH,POL-LTC-10187,Active,In Good Standing,LTC_PLUS,2025-12-27,MA,749.84,5364.77
JH,POL-LTC-10188,Active,In Good Standing,LTC_PLUS,2014-01-19,MA,652.5,5833.55
JH,POL-LTC-10189,Active,In Good Standing,LTC_STD,2016-06-27,MA,399.6,5784.71
JH,POL-LTC-10190,Lapsed,In Good Standing,LTC_STD,2021-07-09,MA,599.29,36834.32
JH,POL-LTC-10191,Lapsed,Payment Pending,LTC_STD,2020-12-23,MA,533.45,35448.21
JH,POL-LTC-10192,Active,In Good Standing,LTC_PLUS,2012-03-01,MA,726.08,33605.54
JH,POL-LTC-10193,Active,Payment Pending,LTC_PLUS,2016-06-28,MA,366.01,14255.53
JH,POL-LTC-10194,Active,In Good Standing,LTC_STD,2016-05-24,MA,403.4,34132.56
JH,POL-LTC-10195,Active,In Good Standing,LTC_PLUS,2010-05-04,MA,765.59,16181.88
JH,POL-LTC-10196,Active,In Good Standing,LTC_PLUS,2016-06-27,MA,686.31,31989.58
JH,POL-LTC-10197,Active,In Good Standing,LTC_PLUS,2022-10-19,MA,595.18,4017.86
JH,POL-LTC-10198,Active,In Good Standing,LTC_PLUS,2020-06-04,MA,253.94,14259.52
JH,POL-LTC-10199,Active,In Good Standing,LTC_PLUS,2013-05-05,MA,699.01,26554.85
JH,POL-LTC-10200,Active,In Good Standing,LTC_STD,2015-09-24,MA,307.59,12253.11
JH,POL-LTC-10201,Active,Payment Pending,LTC_PLUS,2016-04-26,MA,577.99,37830.08
JH,POL-LTC-10202,Active,Payment Pending,LTC_PLUS,2024-03-16,MA,471.14,6034.96
JH,POL-LTC-10203,Lapsed,Payment Pending,LTC_STD,2021-12-25,MA,396.4,37456.51
JH,POL-LTC-10204,Active,Payment Pending,LTC_PLUS,2013-03-08,MA,446.66,28436.03
JH,POL-LTC-10205,Active,In Good Standing,LTC_PLUS,2012-04-22,MA,732.51,29770.59
JH,POL-LTC-10206,Active,In Good Standing,LTC_STD,2018-05-20,MA,474.17,40193.48
JH,POL-LTC-10207,Active,Payment Pending,LTC_STD,2011-08-14,MA,748.67,16417.22
JH,POL-LTC-10208,Lapsed,In Good Standing,LTC_PLUS,2014-10-11,MA,607.53,7327.23
JH,POL-LTC-10209,Active,In Good Standing,LTC_STD,2013-05-07,MA,695.85,16841.47
JH,POL-LTC-10210,Active,In Good Standing,LTC_STD,2015-02-17,MA,521.0,14613.6
JH,POL-LTC-10211,Active,In Good Standing,LTC_PLUS,2020-09-17,MA,747.59,27858.37
JH,POL-LTC-10212,Active,Payment Pending,LTC_STD,2016-10-11,MA,405.69,35757.56
JH,POL-LTC-10213,Active,In Good Standing,LTC_PLUS,2012-03-02,MA,715.03,15300.5
JH,POL-LTC-10214,Active,Payment Pending,LTC_PLUS,2010-01-03,MA,611.63,33487.98
JH,POL-LTC-10215,Active,In Good Standing,LTC_STD,2021-03-19,MA,498.05,27098.54
JH,POL-LTC-10216,Active,Payment Pending,LTC_STD,2016-06-15,MA,478.5,20048.45
JH,POL-LTC-10217,Lapsed,Payment Pending,LTC_PLUS,2025-06-22,MA,350.64,15133.94
JH,POL-LTC-10218,Active,In Good Standing,LTC_PLUS,2024-03-26,MA,675.07,26339.82
JH,POL-LTC-10219,Active,In Good Standing,LTC_STD,2013-03-10,MA,323.03,42849.02
JH,POL-LTC-10220,Lapsed,In Good Standing,LTC_STD,2024-06-17,MA,407.32,16142.67
JH,POL-LTC-10221,Active,In Good Standing,LTC_STD,2019-10-11,MA,687.8,44877.93
JH,POL-LTC-10222,Lapsed,In Good Standing,LTC_PLUS,2019-05-13,MA,359.41,30067.41
JH,POL-LTC-10223,Active,In Good Standing,LTC_STD,2024-11-22,MA,545.05,5189.77
JH,POL-LTC-10224,Active,In Good Standing,LTC_STD,2021-08-21,MA,295.81,26821.04
JH,POL-LTC-10225,Active,In Good Standing,LTC_STD,2020-06-04,MA,383.2,17228.67
JH,POL-LTC-10226,Active,In Good Standing,LTC_PLUS,2010-03-17,MA,547.11,48860.78
JH,POL-LTC-10227,Lapsed,Payment Pending,LTC_PLUS,2016-06-27,MA,342.15,18722.05
JH,POL-LTC-10228,Lapsed,In Good Standing,LTC_PLUS,2025-02-04,MA,776.27,21572.44
JH,POL-LTC-10229,Active,In Good Standing,LTC_STD,2019-10-19,MA,303.61,22663.83
JH,POL-LTC-10230,Active,In Good Standing,LTC_PLUS,2018-11-09,MA,644.28,29649.07
JH,POL-LTC-10231,Lapsed,In Good Standing,LTC_STD,2025-10-20,MA,294.01,26747.34
JH,POL-LTC-10232,Active,Payment Pending,LTC_PLUS,2023-06-18,MA,764.1,16830.4
JH,POL-LTC-10233,Active,In Good Standing,LTC_PLUS,2024-09-27,MA,342.6,16717.36
JH,POL-LTC-10234,Active,In Good Standing,LTC_PLUS,2010-11-01,MA,729.57,21788.02
JH,POL-LTC-10235,Active,In Good Standing,LTC_PLUS,2022-10-17,MA,551.85,39256.48
JH,POL-LTC-10236,Active,In Good Standing,LTC_PLUS,2021-01-18,MA,495.11,42294.8
JH,POL-LTC-10237,Active,Payment Pending,LTC_STD,2013-03-06,MA,458.11,21991.71
JH,POL-LTC-10238,Active,In Good Standing,LTC_PLUS,2016-05-08,MA,738.21,19092.22
JH,POL-LTC-10239,Active,Payment Pending,LTC_PLUS,2017-09-25,MA,691.54,23635.33
JH,POL-LTC-10240,Active,In Good Standing,LTC_STD,2012-05-04,MA,281.7,38669.12
